fid,fid_2,calle_numero,codigo_postal,colonia,alcaldia,sup_terreno,sup_construccion,anio_construccion,instal_esp,valor_unitario_suelo,valor_suelo,cve_vus,subsidio,uso_suelo_raw,clasificacion_viabilidad,ratio_construccion_terreno,valor_m2_suelo_estimado,presupuesto_max_m2_alcaldia,accessibility_score,risk_score,commercial_confidence_score,score_tamano,score_subutilizacion,score_viabilidad_normativa,score_accesibilidad,score_riesgo,score_validacion_comercial,opportunity_score
1064547.0,1469438.0,CDA DEL TRABAJO 14,14480.0,MAGDALENA PETLACALCO,TLALPAN,919.0,155.0,1976.0,0,672.87,618367.53,A140610,710.5446421806,,revision manual,0.16866158868335146,672.87,17000,0.5,0.8,0.0,3.414420561353694e-05,0.6251964695925523,0.6,0.5,0.8,0.0,0.4000461227596332
1065256.0,910721.0,VALDIVIA 29 PROV,14700.0,EL CHARCO,TLALPAN,2219.0,376.0,2009.0,1,606.01,1344736.19,A140310,0.0,,revision manual,0.1694456962595764,606.01,17000,0.5,0.8,0.0,0.0004071481324841086,0.6234540083120524,0.6,0.5,0.8,0.0,0.3997722312889073
1067016.0,909533.0,MARIANO ESCOBEDO 15,14700.0,SAN MIGUEL AJUSCO,TLALPAN,1239.22,209.89,1984.0,0,675.29,836832.8738,A140930,773.0925965759592,,revision manual,0.16937266990526298,675.29,17000,0.5,0.8,0.0,0.00012602368058468654,0.6236162890994157,0.6,0.5,0.8,0.0,0.3997484625560001
1058211.0,1127780.0,PROL JUAREZ 1,14476.0,AMPLIACION ORIENTE SAN ANDRES TOT,TLALPAN,1310.0,222.0,2009.0,1,381.5,499765.0,A141159,661.9708934038813,,revision manual,0.16946564885496182,381.5,17000,0.5,0.8,0.0,0.00014633230977230117,0.6234096692111959,0.6,0.5,0.8,0.0,0.39971120030419366
1014046.0,1376099.0,AV DE LAS TORRES 180,14250.0,MIGUEL HIDALGO 2A SECC,TLALPAN,5092.76,865.94,2000.0,0,2245.77,11437167.6252,A140642,0.0,,revision manual,0.17003353780661173,2245.77,17000,0.5,0.8,0.0,0.0012317048747022424,0.622147693763085,0.6,0.5,0.8,0.0,0.39967587972755747
1032349.0,961154.0,"CARRETERA FEDERAL MEXICO-CUERNAVACA, 5256",14650.0,PUEBLO SAN PEDRO MARTIR,TLALPAN,1976.01,335.32,1979.0,1,1563.66,3089807.7966,A140912,0.0,,revision manual,0.1696954974924216,1563.66,17000,0.5,0.8,0.0,0.0003374279600300469,0.6228988944612853,0.6,0.5,0.8,0.0,0.3996472644842631
1034174.0,496912.0,2 PRIV CLAVEL SUR 22,14650.0,SAN PEDRO MARTIR,TLALPAN,1205.29,204.84,1986.0,0,1563.66,1884663.7614,A140912,2451.9462034039816,,revision manual,0.16995080022235312,1563.66,17000,0.5,0.8,0.0,0.00011628827809336459,0.6223315550614374,0.6,0.5,0.8,0.0,0.3994895686679062
1071238.0,1120600.0,"CL. FLOR DE AMALILLO, 59",14400.0,LA PALMA,TLALPAN,1183.56,201.28,2007.0,1,381.5,451528.14,A141159,813.0978398788643,,revision manual,0.1700631991618507,381.50000000000006,17000,0.5,0.8,0.0,0.00011005337399267419,0.6220817796403317,0.6,0.5,0.8,0.0,0.3994383666028649
1061185.0,1509640.0,OTHON LEON LOBATO M-15 L-4A,14760.0,HEROES DE 1910,TLALPAN,1616.0,275.0,1999.0,0,401.88,649438.08,A140470,660.9052329794,,revision manual,0.17017326732673269,401.88,17000,0.5,0.8,0.0,0.0002341316956356819,0.6218371837183718,0.6,0.5,0.8,0.0,0.39941426308280154
1063326.0,1469367.0,5 DE MAYO 26 A,14480.0,MAGDALENA PETLACALCO,TLALPAN,1175.0,200.0,1967.0,0,672.87,790622.25,A140610,874.692191986,,revision manual,0.1702127659574468,672.87,17000,0.5,0.8,0.0,0.00010759728659728028,0.6217494089834515,0.6,0.5,0.8,0.0,0.3993714012540098
